value,combined_count,adarsh_count,combined_lines,adarsh_lines
1741,2,2,"205 363","205 363"
1782,2,2,"1653 1653","1654 1654"
1800,2,2,"1280 1424","1269 1413"
19.4,2,2,"447 451","447 451"
19.5,5,5,"689 689 689 689 2282","689 689 689 689 2303"
19.8,1,1,"604","604"
2.12,1,1,"459","459"
2.15,1,1,"735","735"
2.17,1,1,"735","735"
2.25,1,1,"199","199"
2.26,1,1,"735","735"
2.45,1,1,"735","735"
2.47,2,2,"735 735","735 735"
2.52,1,1,"735","735"
2.55,2,2,"199 199","199 199"
2.65,1,1,"735","735"
2.68,1,1,"735","735"
2.75,1,1,"199","199"
2.82,1,1,"1139","1128"
2.83,12,12,"447 447 447 447 447 447 451 451 451 451 451 451","447 447 447 447 447 447 451 451 451 451 451 451"
2.94,1,1,"735","735"
2000,7,7,"424 1163 1773 1791 1792 1961 2084","424 1152 1768 1786 1787 1982 2105"
2023,1,1,"197","197"
2024,1,1,"190","190"
2027,2,2,"737 743","737 743"
2266,2,2,"205 363","205 363"
23.2,5,5,"689 689 689 689 2283","689 689 689 689 2304"
2307,2,2,"205 363","205 363"
2400,1,1,"1244","1233"
2500,2,2,"1782 1791","1777 1786"
26.5,1,1,"604","604"
2800,1,1,"1280","1269"
2856,2,2,"707 707","707 707"
3.02,1,1,"735","735"
3.05,1,1,"735","735"
3.14,2,1,"522 735","735"
3.27,1,1,"735","735"
3.29,2,2,"735 735","735 735"
3.42,1,1,"443","443"
3.46,1,1,"441","441"
3.64,1,1,"735","735"
3.81,1,1,"735","735"
3.87,3,3,"446 454 637","446 454 637"
3000,10,5,"205 363 1080 1080 1080 1080 1080 1782 1791 2311","205 363 1777 1786 2332"
3021,2,2,"205 363","205 363"
3115,2,2,"205 363","205 363"
3198,2,2,"205 363","205 363"
3199,2,2,"205 363","205 363"
3200,2,2,"1203 1461","1192 1450"
3210,1,1,"724","724"
3391,2,2,"205 363","205 363"
3500,3,3,"1160 1771 1827","1149 1766 1848"
3617,2,2,"205 363","205 363"
3695,2,2,"205 363","205 363"
3795,8,2,"1079 1079 1079 1079 1079 1079 1190 1519","1179 1508"
3836,2,2,"205 363","205 363"
3881,2,2,"205 363","205 363"
39.4,1,1,"604","604"
4.01,1,1,"735","735"
4.03,1,1,"735","735"
4.04,1,1,"735","735"
4.27,1,1,"430","430"
4.68,2,2,"447 451","447 451"
4000,2,2,"1160 1771","1149 1766"
4373,2,2,"205 363","205 363"
4643,2,2,"205 363","205 363"
47.2,1,1,"2029","2050"
48.8,1,1,"604","604"
48.9,3,1,"570 704 1080","704"
4823,2,2,"205 363","205 363"
5.15,1,1,"430","430"
5.77,2,2,"428 428","428 428"
5.82,1,1,"438","438"
5000,1,1,"739","739"
5008,2,2,"205 363","205 363"
5216,2,2,"205 363","205 363"
6.58,2,2,"428 428","428 428"
6.95,1,1,"457","457"
6119,2,2,"205 363","205 363"
6163,1,2,"1521","1510 1833"
6400,1,1,"199","199"
6411,2,2,"205 363","205 363"
6474,4,4,"689 689 1647 1647","689 689 1648 1648"
6553,2,2,"205 363","205 363"
6593,2,2,"205 363","205 363"
66.5,1,1,"735","735"
6665,2,2,"205 363","205 363"
6780,2,2,"205 363","205 363"
6938,2,2,"205 363","205 363"
6991,2,2,"205 363","205 363"
7.07,2,2,"435 435","435 435"
7.54,2,2,"435 435","435 435"
7.75,3,3,"446 454 637","446 454 637"
72.1,3,1,"570 704 1080","704"
7250,2,2,"1520 1521","1510 1833"
7559,2,2,"205 363","205 363"
7757,2,2,"205 363","205 363"
7826,2,2,"205 363","205 363"
7890,1,1,"737","737"
8.26,2,2,"438 438","438 438"
8.91,1,1,"438","438"
8000,1,1,"199","199"
8080,1,1,"199","199"
8229,2,2,"205 363","205 363"
8319,2,2,"205 363","205 363"
8338,1,2,"1521","1510 1833"
8435,2,2,"205 363","205 363"
8537,2,2,"205 363","205 363"
8722,1,1,"2042","2063"
8847,2,2,"205 363","205 363"
8884,2,2,"205 363","205 363"
9.27,2,2,"438 438","438 438"
9000,1,1,"1782","1777"
9199,2,2,"205 363","205 363"
9339,2,2,"205 363","205 363"
9352,2,2,"205 363","205 363"
9375,1,1,"199","199"
9557,2,2,"205 363","205 363"
9598,2,2,"205 363","205 363"
9654,4,4,"387 502 1209 2054","387 502 1198 2075"
9660,4,4,"587 1110 1129 1695","587 1099 1118 1696"
9693,2,2,"205 363","205 363"
9736,2,2,"205 363","205 363"
9772,2,2,"205 363","205 363"
9788,1,2,"1521","1510 1833"
9957,2,2,"205 363","205 363"
9972,2,2,"205 363","205 363"
9978,2,2,"205 363","205 363"
9993,2,2,"205 363","205 363"
9999,19,19,"604 604 627 628 628 628 661 689 689 689 689 689 1153 1647 1649 1651 1653 2249 2277","604 604 627 628 628 628 661 689 689 689 689 689 1142 1648 1650 1652 1654 2270 2298"
0,100,1,1,"199","199"
0,180,1,1,"199","199"
0,210,1,1,"1859","1880"
0,255,6,6,"199 199 199 199 199 199","199 199 199 199 199 199"
0,282,1,1,"2116","2137"
03.07,1,1,"735","735"
04045,1,1,"199","199"
09.06,1,1,"735","735"
1,000,9,5,"536 559 604 604 604 604 684 739 2111","604 604 604 604 739"
1,084,2,2,"604 604","604 604"
1,158,2,1,"560 682","682"
1,197,3,1,"508 692 2107","2128"
1,198,1,1,"604","604"
1,200,1,1,"660","660"
1,216,1,1,"689","689"
1,247,5,1,"586 589 635 635 1003","589"
1,307,3,3,"627 627 627","627 627 627"
1,386,5,1,"508 569 692 741 2107","2128"
1,420,1,1,"604","604"
1,450,1,1,"762","762"
1,500,3,2,"572 674 684","572 674"
1,650,1,1,"604","604"
1,730,1,1,"689","689"
1,782,1,1,"1653","1654"
1.005,1,1,"73","73"
1.055,2,2,"199 199","199 199"
1.525,2,2,"199 199","199 199"
10000,3,3,"739 739 1964","739 739 1985"
12.01,3,3,"425 443 457","425 443 457"
12.45,1,1,"735","735"
12.92,2,2,"199 199","199 199"
14.08,1,1,"457","457"
14.14,2,2,"438 438","438 438"
15.09,1,1,"438","438"
16.65,2,2,"444 444","444 444"
17.77,1,1,"438","438"
18.18,1,1,"438","438"
2,000,3,2,"627 684 761","627 761"
2,100,1,1,"660","660"
2,614,3,3,"627 627 627","627 627 627"
2,847,1,1,"628","628"
2.526,2,2,"428 428","428 428"
2.625,1,1,"199","199"
21.02,2,2,"438 438","438 438"
21.16,1,1,"457","457"
28873,2,2,"205 363","205 363"
3,000,5,1,"529 560 684 739 2111","739"
3,290,1,1,"572","572"
3,396,3,3,"604 604 604","604 604 604"
3,500,2,2,"572 674","572 674"
3,654,1,1,"572","572"
3,795,5,1,"508 569 692 741 2107","2128"
32767,2,2,"193 199","193 199"
32768,2,2,"193 199","193 199"
33.33,4,4,"290 290 299 299","290 290 299 299"
37961,2,2,"205 363","205 363"
4,000,2,2,"572 674","572 674"
4,310,1,1,"739","739"
45133,2,2,"205 363","205 363"
5,000,1,1,"739","739"
5,720,4,4,"571 689 689 689","571 689 689 689"
5,890,3,3,"689 689 689","689 689 689"
5.997,2,2,"428 428","428 428"
6,234,4,4,"689 689 689 689","689 689 689 689"
6,980,8,8,"571 604 604 604 689 689 689 689","571 604 604 604 689 689 689 689"
66.66,4,4,"290 290 299 299","290 290 299 299"
7,250,1,1,"589","589"
7,450,7,7,"571 604 689 689 689 689 689","571 604 689 689 689 689 689"
7,842,10,10,"604 604 627 627 661 682 689 689 689 2285","604 604 627 627 661 682 689 689 689 2306"
7,848,1,1,"627","627"
76333,2,2,"205 363","205 363"
79147,2,2,"205 363","205 363"
81153,2,2,"205 363","205 363"
81197,2,2,"205 363","205 363"
83.94,1,1,"735","735"
87.78,1,1,"735","735"
9,000,1,1,"682","682"
91.65,1,1,"735","735"
91391,2,2,"205 363","205 363"
99999,1,1,"2032","2053"
013.36,1,1,"735","735"
079487,1,1,"733","733"
10,000,2,2,"739 1964","739 1985"
10.089,1,1,"514","514"
111111,4,4,"290 290 299 299","290 290 299 299"
122002,3,3,"487 737 2105","487 737 2126"
14,289,2,2,"2116 2116","2137 2137"
14,290,1,1,"1871","1892"
141.50,2,1,"1092 1093","1084"
191970,1,1,"199","199"
219.00,1,1,"1088","1084"
25,000,1,1,"737","737"
27,154,3,6,"1520 1520 1520","1509 1509 1509 1831 1831 1831"
280.50,2,1,"1086 1087","1084"
32,196,1,1,"1866","1887"
34,197,1,1,"1894","1915"
400014,1,1,"749","749"
400051,1,1,"749","749"
400053,1,1,"749","749"
447.00,1,1,"1084","1084"
504350,2,2,"205 363","205 363"
63,779,1,1,"739","739"
663399,1,1,"199","199"
696043,2,2,"205 363","205 363"
696969,2,2,"199 199","199 199"
7.5625,1,1,"199","199"
708090,2,2,"199 199","199 199"
71,161,1,1,"295","295"
713.50,5,1,"508 587 692 1090 2107","2128"
778899,2,2,"199 199","199 199"
800000,1,1,"199","199"
800080,1,1,"199","199"
808000,1,1,"199","199"
808080,2,2,"199 199","199 199"
898.50,1,2,"674","572 674"
90,270,1,1,"199","199"
929.50,5,1,"508 587 692 1092 2107","2128"
957802,2,2,"205 363","205 363"
984375,1,1,"199","199"
990000,1,1,"114","114"
999999,1,1,"1965","1986"
0031308,1,1,"199","199"
1.70158,3,3,"199 199 199","199 199 199"
180,290,1,1,"1871","1892"
245,158,1,1,"1494","1483"
255,255,1,1,"199","199"
4445520,2,2,"205 363","205 363"
666,119,2,2,"1190 1519","1179 1508"
799,138,2,2,"1190 1519","1179 1508"
1,429.00,4,1,"508 587 692 2107","2128"
1,841.50,4,1,"508 587 692 2107","2128"
2,929.00,4,1,"508 587 692 2107","2128"
3,290.00,1,1,"674","674"
3,654.00,1,1,"674","674"
5,720.00,3,3,"670 670 1890","670 670 1911"
5,890.00,3,3,"670 670 1890","670 670 1911"
6,234.00,3,3,"670 670 1890","670 670 1911"
6,980.00,3,3,"670 670 1890","670 670 1911"
7,450.00,3,3,"670 670 1890","670 670 1911"
012345678,1,1,"199","199"
59,130,246,5,5,"90 147 177 1494 1815","90 147 177 1483 1810"
153,153,153,1,1,"2116","2137"
200,200,200,1,1,"1866","1887"
245,245,245,4,4,"1883 1909 1921 2116","1904 1930 1942 2137"
252,252,252,5,5,"1883 1894 1909 1921 1942","1904 1915 1930 1942 1963"
254,242,242,1,1,"2107","2128"
